repository	disposition	category	reason
linebender/resvg	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
nical/lyon	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
cristicbz/rust-doom	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
chinedufn/percy	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
framesurge/perseus	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
not-fl3/miniquad	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
face-hh/webx	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
mbrubeck/robinson	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
StarArawn/bevy_ecs_tilemap	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
askama-rs/askama	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
BVE-Reborn/rend3	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
fschutt/printpdf	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
HakanSeven12/OpenCADStudio	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
josueBarretogit/manga-tui	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
dfrg/swash	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
wahn/rs_pbrt	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
alexheretic/glyph-brush	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
milos-agathon/forge3d	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
galileo-map/galileo	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
fintelia/terra	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
project-blinc/Blinc	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
chinedufn/webgl-water-tutorial	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
faisalkindi/DLSS5oneclick	excluded	workload: graphics	Search false positive or domain outside Rust performance harness requirements.
mkeeter/fidget	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
james-j-obrien/bevy_vector_shapes	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
renpenguin/display3d	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
Patryk27/strolle	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
ekzhang/rpt	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
gdt050579/AppCUI-rs	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
ratatui/ratatui-image	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
bonsairobo/building-blocks	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
veeenu/hudhook	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
zesterer/euc	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
cxreiff/bevy_ratatui_camera	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
rustq/vue-skia	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
thatmagicalcat/txm	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
kurtkuehnert/bevy_terrain	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
001TMF/ProteinView	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
toxoidengine/toxoid	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
guilhermeprokisch/see	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
staff-rs/staff	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
Dicklesworthstone/frankentui	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
Valerioageno/ssr-rs	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
lzanini/mdbook-katex	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
TritonDataCenter/statemap	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
kazan-3d/kazan	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
kurtkuehnert/terrain_renderer	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
fu5ha/rendy-pbr	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
fslabs/bevy_polyline	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
openooxml/betteroffice	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
panxinmiao/myth	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
teoxoy/encase	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
junkdog/beamterm	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
Dylanmurzello/zed-android-port	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
radiant-labs/radiantkit	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
Indosaram/hwpers	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
asinglebit/guitar	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
nikomatsakis/skill-tree	excluded	workload: graphics	Search false positive or domain outside Rust performance harness requirements.
StarArawn/bevy_tiled	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
sarkahn/bevy_ascii_terminal	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
avsaase/walksnail-osd-tool	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
chinedufn/landon	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
austintheriot/wrend	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
m13253/FaithType	unavailable	workload: graphics	No README body; excluded from content-review count.
manankarnik/bevy_generative	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
Jesterhearts/ratatui-wgpu	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
atuinsh/eye-declare	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
Logicalshift/flo_draw	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
DavidPeicho/albedo	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
gents83/INOX	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
lcnr/crow	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
Smithay/drm-rs	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
fslabs/bevy_aabb_instancing	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
yeicor/sdf-viewer	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
skyzh/raytracer.rs	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
kosumic/rustracer	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
dtcristo/bevy_pixels	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
micahrj/ochre	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
arcana-engine/sierra	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
alibaba/font-toolkit	unavailable	workload: graphics	No README body; excluded from content-review count.
Dicklesworthstone/rich_rust	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
microsoft/webui	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
riley-williams/buoyant	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
Panzerschrek/Square-Wheel	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
mikialex/rendiation	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
o2sh/provok	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
maplibre/maplibre-native-rs	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
jadedbay/bevy_procedural_grass	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
beltegeuse/rustlight	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
carloskiki/pulldown-latex	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
num3ric/sol-rs	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
Alex6357/alloy	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
ixlab/vidformer	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
jinleili/sdf-text-view	unavailable	workload: graphics	No README body; excluded from content-review count.
FreddyWordingham/antler	unavailable	workload: graphics	No README body; excluded from content-review count.
VisualGMQ/rs-cpurenderer	unavailable	workload: graphics	No README body; excluded from content-review count.
mgth/Omniphony	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
meilisearch/meilisearch	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
qdrant/qdrant	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
surrealdb/surrealdb	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
influxdata/influxdb	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
chroma-core/chroma	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
clockworklabs/SpacetimeDB	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
tursodatabase/turso	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
neondatabase/neon	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
valeriansaliou/sonic	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
t8y2/dbx	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
tikv/tikv	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
pingcap/talent-plan	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
SeaQL/sea-orm	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
databendlabs/databend	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
risingwavelabs/risingwave	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
spacejam/sled	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
warp-tech/warpgate	excluded	workload: storage	Access gateway; no relevant benchmark design evidence
erikgrinaker/toydb	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
GreptimeTeam/greptimedb	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
MaterializeInc/materialize	excluded	workload: storage	Search false positive or domain outside Rust performance harness requirements.
FalkorDB/FalkorDB	excluded	workload: storage	Search false positive or domain outside Rust performance harness requirements.
HelixDB/helix-db	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
trailbaseio/trailbase	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
pgdogdev/pgdog	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
achristmascarl/rainfrog	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
readysettech/readyset	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
malisper/pgrust	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
cberner/redb	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
typedb/typedb	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
Qovery/Replibyte	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
skyzh/mini-lsm	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
cozodb/cozo	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
ekzhang/rustpad	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
vlcn-io/cr-sqlite	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
frectonz/sql-studio	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
AmrDeveloper/GQL	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
slatedb/slatedb	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
TaKO8Ki/gobang	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
gluesql/gluesql	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
spiceai/spiceai	excluded	workload: storage	Search false positive or domain outside Rust performance harness requirements.
orbitinghail/sqlsync	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
obi1kenobi/trustfall	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
apache/horaedb	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
skytable/skytable	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
sfu-db/connector-x	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
sqlpage/SQLPage	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
indradb/indradb	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
hydra-db/hydradb	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
fjall-rs/fjall	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
tensorchord/pgvecto.rs	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
rust-rocksdb/rust-rocksdb	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
feldera/feldera	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
toeverything/OctoBase	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
tranxuanthang/lrclib	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
nubskr/walrus	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
microsoft/DiskANN	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
Brendonovich/prisma-client-rust	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
oxigraph/oxigraph	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
risinglightdb/risinglight	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
superfly/corrosion	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
cnosdb/cnosdb	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
SeaQL/sea-query	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
cswinter/LocustDB	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
tonbo-io/tonbo	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
losfair/mvsqlite	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
orbitinghail/graft	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
skyzh/type-exercise-in-rust	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
postgresml/korvus	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
tensorbase/tensorbase	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
lnx-search/lnx	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
PumpkinDB/PumpkinDB	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
teodevgroup/teo	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
exonum/exonum	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
PoloDB/PoloDB	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
stoolap/stoolap	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
cornucopia-rs/cornucopia	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
joaoh82/rust_sqlite	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
khonsulabs/bonsaidb	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
Evokoa/pgGraph	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
GlareDB/glaredb	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
duckdb/duckdb-rs	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
ovexro/dockpanel	excluded	workload: storage	Server administration product outside selected scope
djc/bb8	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
feigeCode/navop	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
antoniosarosi/mkdb	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
lanterndata/lantern	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
supabase/wrappers	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
sunng87/pgwire	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
GrafeoDB/grafeo	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
0b01/tectonicdb	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
KipData/KiteSQL	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
opral/lix	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
s2-streamstore/s2	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
vincent-herlemont/native_db	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
blackbeam/rust-mysql-simple	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
earth-mover/icechunk	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
KOBA789/relly	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
vrmiguel/pgpad	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
Pometry/Raphtory	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
Fullstop000/wickdb	retained	workload: storage	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
ProjectPhysX/FluidX3D	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
idealvin/coost	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
felixguendling/cista	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
ashvardanian/less_slow.cpp	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
JonMagon/KDiskMark	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
openai/procgen	excluded	benchmark/testing candidate	Policy training environment benchmark
kimwalisch/primesieve	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
baidu-research/DeepBench	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
redis/memtier_benchmark	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
travisdowns/uarch-bench	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
thekvs/cpp-serializers	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
Mellanox/sockperf	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
Jittor/JNeRF	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
openxrlab/xrslam	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
openxrlab/xrnerf	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
QingyongHu/SensatUrban	excluded	benchmark/testing candidate	Semantic segmentation dataset
p-ranav/alpaca	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
frol/completely-unscientific-benchmarks	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
RRZE-HPC/gpu-benches	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
krrishnarraj/clpeak	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
zupat/related_post_gen	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
ekondis/mixbench	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
davidstutz/superpixel-benchmark	excluded	benchmark/testing candidate	Segmentation quality evaluation
UWMILab/HA-VLN	excluded	benchmark/testing candidate	Navigation task-quality benchmark
JokerJohn/PALoc	excluded	benchmark/testing candidate	SLAM trajectory accuracy benchmark
sbeamer/gapbs	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
XiaoMi/mobile-ai-bench	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
UoB-HPC/BabelStream	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
fastvideo/gpu-camera-sample	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
Xingyu-Lin/softgym	excluded	benchmark/testing candidate	Robot policy manipulation environments
hpcg-benchmark/hpcg	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
1a1a11a/libCacheSim	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
Compaile/ctrack	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
ProjectPhysX/OpenCL-Benchmark	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
martinus/map_benchmark	excluded	benchmark/testing candidate	README redirects to article; article not analysed in this corpus
apigee/apib	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
learnedsystems/SOSD	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
FrontierCS/Frontier-CS	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
ORNL/HeCBench	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
VITA-Group/Open-L2O	excluded	benchmark/testing candidate	Learned optimizer quality benchmark
rcedgar/muscle	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
breuner/elbencho	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
t-dillon/tdoku	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
davidstutz/superpixels-revisited	excluded	benchmark/testing candidate	Segmentation quality evaluation
jwlim/tracker_benchmark	excluded	benchmark/testing candidate	Visual tracking accuracy benchmark
google/uVkCompute	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
miloyip/dtoa-benchmark	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
zhouxian/FluidLab	excluded	benchmark/testing candidate	Differentiable manipulation environments
vkmark/vkmark	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
cmuratori/termbench	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
johnmcfarlane/fixed_point	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
SJTU-IPADS/ServerlessBench	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
leggedrobotics/SimBenchmark	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
ParAlg/gbbs	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
Aider-AI/polyglot-benchmark	excluded	benchmark/testing candidate	Programming problem success evaluation
